"","hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","market_segment","distribution_channel","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","reserved_room_type","assigned_room_type","booking_changes","deposit_type","agent","company","days_in_waiting_list","customer_type","adr","required_car_parking_spaces","total_of_special_requests","reservation_status","reservation_status_date"
"18349","Resort Hotel",1,82,2016,"February",7,7,2,0,2,0,0,"Undefined","PRT","Groups","TA/TO",1,1,0,"A","A",0,"No Deposit","67","NULL",0,"Transient-Party",66,0,0,"Canceled","2016-01-26"
"18350","Resort Hotel",1,82,2016,"February",7,7,2,0,2,0,0,"BB","PRT","Groups","TA/TO",1,1,0,"A","A",0,"No Deposit","67","NULL",0,"Transient-Party",86,0,0,"Canceled","2015-11-17"
"18351","Resort Hotel",1,82,2016,"February",7,7,2,0,2,0,0,"BB","PRT","Groups","TA/TO",1,1,0,"A","A",0,"No Deposit","67","NULL",0,"Transient-Party",86,0,0,"Canceled","2015-11-17"
"18352","Resort Hotel",1,82,2016,"February",7,7,2,0,2,0,0,"BB","PRT","Groups","TA/TO",1,1,0,"A","A",0,"No Deposit","67","NULL",0,"Transient-Party",86,0,0,"Canceled","2015-11-17"
"18353","Resort Hotel",1,82,2016,"February",7,7,2,0,2,0,0,"BB","PRT","Groups","TA/TO",1,1,0,"A","A",0,"No Deposit","67","NULL",0,"Transient-Party",86,0,0,"Canceled","2015-11-17"
"18354","Resort Hotel",1,82,2016,"February",7,7,2,0,2,0,0,"BB","PRT","Groups","TA/TO",1,1,0,"A","A",0,"No Deposit","67","NULL",0,"Transient-Party",86,0,0,"Canceled","2015-11-17"
"18355","Resort Hotel",1,82,2016,"February",7,7,2,0,2,0,0,"BB","PRT","Groups","TA/TO",1,1,0,"A","A",0,"No Deposit","67","NULL",0,"Transient-Party",86,0,0,"Canceled","2015-11-17"
"18356","Resort Hotel",1,82,2016,"February",7,7,2,0,2,0,0,"BB","PRT","Groups","TA/TO",1,1,0,"A","A",0,"No Deposit","67","NULL",0,"Transient-Party",86,0,0,"Canceled","2015-11-17"
"18357","Resort Hotel",1,82,2016,"February",7,7,2,0,2,0,0,"BB","PRT","Groups","TA/TO",1,1,0,"A","A",0,"No Deposit","67","NULL",0,"Transient-Party",86,0,0,"Canceled","2015-11-17"
"18358","Resort Hotel",1,82,2016,"February",7,7,2,0,2,0,0,"BB","PRT","Groups","TA/TO",1,1,0,"A","A",0,"No Deposit","67","NULL",0,"Transient-Party",86,0,0,"Canceled","2015-11-17"
"18359","Resort Hotel",1,82,2016,"February",7,7,2,0,2,0,0,"BB","PRT","Groups","TA/TO",1,1,0,"A","A",0,"No Deposit","67","NULL",0,"Transient-Party",86,0,0,"Canceled","2015-11-17"
"18360","Resort Hotel",1,82,2016,"February",7,7,2,0,2,0,0,"BB","PRT","Groups","TA/TO",1,1,0,"A","A",0,"No Deposit","67","NULL",0,"Transient-Party",86,0,0,"Canceled","2015-11-17"
"18361","Resort Hotel",1,82,2016,"February",7,7,2,0,2,0,0,"BB","PRT","Groups","TA/TO",1,1,0,"A","A",0,"No Deposit","67","NULL",0,"Transient-Party",86,0,0,"Canceled","2015-11-17"
"18362","Resort Hotel",1,82,2016,"February",7,7,2,0,2,0,0,"BB","PRT","Groups","TA/TO",1,1,0,"A","A",0,"No Deposit","67","NULL",0,"Transient-Party",86,0,0,"Canceled","2015-11-17"
"18363","Resort Hotel",1,82,2016,"February",7,7,2,0,2,0,0,"BB","PRT","Groups","TA/TO",1,1,0,"A","A",0,"No Deposit","67","NULL",0,"Transient-Party",86,0,0,"Canceled","2015-11-17"
"18364","Resort Hotel",1,82,2016,"February",7,7,2,0,2,0,0,"BB","PRT","Groups","TA/TO",1,1,0,"A","A",0,"No Deposit","67","NULL",0,"Transient-Party",86,0,0,"Canceled","2015-11-17"
"18365","Resort Hotel",1,82,2016,"February",7,7,2,0,2,0,0,"BB","PRT","Groups","TA/TO",1,1,0,"A","A",0,"No Deposit","67","NULL",0,"Transient-Party",86,0,0,"Canceled","2015-11-17"
"18366","Resort Hotel",1,82,2016,"February",7,7,2,0,2,0,0,"BB","PRT","Groups","TA/TO",1,1,0,"A","A",0,"No Deposit","67","NULL",0,"Transient-Party",86,0,0,"Canceled","2015-11-17"
"18367","Resort Hotel",1,215,2016,"June",26,19,4,7,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",1,1,0,"D","D",0,"No Deposit","40","NULL",0,"Contract",62.9,0,0,"Canceled","2015-11-17"
"18370","Resort Hotel",1,0,2017,"March",12,20,1,0,1,0,0,"BB","PRT","Direct","Corporate",1,0,1,"A","D",0,"No Deposit","NULL","88",0,"Transient",35,0,0,"Canceled","2017-03-20"
"18372","Resort Hotel",0,2,2016,"June",24,8,0,2,1,0,0,"BB","GBR","Complementary","TA/TO",1,0,1,"A","C",0,"No Deposit","40","NULL",0,"Transient",0,0,1,"Check-Out","2016-06-10"
"18373","Resort Hotel",0,4,2017,"January",5,30,1,0,1,0,0,"BB","GBR","Complementary","TA/TO",1,0,2,"F","F",0,"No Deposit","40","NULL",0,"Transient",0,0,1,"Check-Out","2017-01-31"
"18374","Resort Hotel",0,5,2017,"May",20,15,1,0,1,0,0,"BB","GBR","Complementary","TA/TO",1,0,3,"E","E",0,"No Deposit","40","NULL",0,"Transient",0,1,2,"Check-Out","2017-05-16"
"18385","Resort Hotel",0,1,2015,"November",47,21,0,1,2,0,0,"BB","GBR","Offline TA/TO","TA/TO",1,0,1,"A","A",0,"No Deposit","127","NULL",0,"Transient",30.5,0,0,"Check-Out","2015-11-22"
"18388","Resort Hotel",0,2,2017,"June",26,27,0,2,2,0,0,"BB","PRT","Direct","TA/TO",1,0,1,"A","A",0,"No Deposit","250","NULL",0,"Transient",149,1,1,"Check-Out","2017-06-29"
"18392","Resort Hotel",0,1,2017,"January",2,11,0,2,1,0,0,"BB","PRT","Offline TA/TO","TA/TO",1,0,1,"A","D",0,"No Deposit","6","NULL",0,"Group",30,0,0,"Check-Out","2017-01-13"
"18393","Resort Hotel",0,7,2017,"March",11,14,0,3,1,0,0,"BB","PRT","Corporate","TA/TO",1,0,2,"A","A",0,"No Deposit","NULL","178",0,"Transient",35,0,0,"Check-Out","2017-03-17"
"18405","Resort Hotel",0,2,2015,"December",51,17,0,1,1,0,0,"BB","PRT","Offline TA/TO","TA/TO",1,0,1,"A","A",0,"No Deposit","314","NULL",0,"Transient",26,0,0,"Check-Out","2015-12-18"
"18406","Resort Hotel",0,6,2016,"March",12,14,1,2,1,0,0,"BB","PRT","Online TA","TA/TO",1,0,2,"A","A",0,"No Deposit","314","NULL",0,"Transient",34.4,1,0,"Check-Out","2016-03-17"
"18408","Resort Hotel",0,1,2016,"January",3,12,0,1,1,0,0,"BB","PRT","Offline TA/TO","TA/TO",1,0,1,"A","A",0,"No Deposit","146","NULL",0,"Transient",31,1,0,"Check-Out","2016-01-13"
"18409","Resort Hotel",0,8,2016,"February",6,3,0,1,1,0,0,"BB","PRT","Offline TA/TO","TA/TO",1,0,2,"A","D",0,"No Deposit","146","NULL",0,"Transient",31,1,0,"Check-Out","2016-02-04"
"18410","Resort Hotel",0,4,2016,"February",9,22,1,1,1,0,0,"BB","PRT","Offline TA/TO","TA/TO",1,0,3,"A","D",0,"No Deposit","146","NULL",0,"Group",31,1,0,"Check-Out","2016-02-24"
"18411","Resort Hotel",0,2,2016,"March",11,9,0,1,1,0,0,"BB","PRT","Offline TA/TO","TA/TO",1,0,4,"A","A",0,"No Deposit","146","NULL",0,"Transient",31,1,0,"Check-Out","2016-03-10"
"18412","Resort Hotel",0,6,2016,"March",14,30,0,1,1,0,0,"BB","PRT","Offline TA/TO","TA/TO",1,0,5,"A","D",0,"No Deposit","146","NULL",0,"Transient",45,1,0,"Check-Out","2016-03-31"
"18413","Resort Hotel",0,2,2016,"April",17,20,0,1,1,0,0,"BB","PRT","Offline TA/TO","TA/TO",1,0,6,"A","A",1,"No Deposit","146","NULL",0,"Transient",46,1,0,"Check-Out","2016-04-21"
"18414","Resort Hotel",0,4,2016,"May",23,31,0,1,1,0,0,"BB","PRT","Offline TA/TO","TA/TO",1,0,7,"A","A",0,"No Deposit","146","NULL",0,"Group",63,1,0,"Check-Out","2016-06-01"
"18418","Resort Hotel",0,4,2016,"March",12,15,0,2,2,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"A","D",0,"No Deposit","NULL","NULL",0,"Transient",45,0,1,"Check-Out","2016-03-17"
"18419","Resort Hotel",0,2,2016,"December",51,11,2,0,2,0,0,"BB","PRT","Online TA","Corporate",1,0,2,"A","A",0,"No Deposit","240","NULL",0,"Transient",48,0,1,"Check-Out","2016-12-13"
"18420","Resort Hotel",0,0,2016,"December",51,13,0,1,2,0,0,"BB","PRT","Online TA","Corporate",1,0,2,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",44,0,1,"Check-Out","2016-12-14"
"18421","Resort Hotel",0,1,2017,"January",4,24,0,2,1,0,0,"BB","PRT","Online TA","Corporate",1,0,4,"A","D",0,"No Deposit","240","NULL",0,"Transient",43,0,2,"Check-Out","2017-01-26"
"18422","Resort Hotel",0,2,2017,"March",9,1,0,1,1,0,0,"BB","PRT","Direct","Direct",1,0,5,"A","D",0,"No Deposit","NULL","NULL",0,"Transient",34.2,0,2,"Check-Out","2017-03-02"
"18425","Resort Hotel",0,2,2016,"January",2,9,1,1,2,0,0,"BB","PRT","Online TA","TA/TO",1,0,1,"A","D",0,"No Deposit","240","NULL",0,"Transient",48,0,2,"Check-Out","2016-01-11"
"18436","Resort Hotel",0,3,2016,"May",22,23,0,0,1,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"A","A",0,"No Deposit","NULL","20",0,"Transient",0,0,0,"Check-Out","2016-05-23"
"18437","Resort Hotel",0,23,2017,"March",13,29,0,3,1,0,0,"BB","PRT","Corporate","Corporate",1,0,2,"A","D",0,"No Deposit","NULL","20",0,"Transient",48,0,0,"Check-Out","2017-04-01"
"18438","Resort Hotel",0,27,2017,"April",14,2,2,2,1,0,0,"BB","PRT","Corporate","Corporate",1,0,3,"A","C",0,"No Deposit","NULL","20",0,"Transient",45,0,1,"Check-Out","2017-04-06"
"18442","Resort Hotel",0,0,2016,"May",20,9,1,2,1,0,0,"BB","PRT","Direct","Direct",1,0,1,"A","A",0,"No Deposit","NULL","88",0,"Transient",42,0,0,"Check-Out","2016-05-12"
"18443","Resort Hotel",0,1,2017,"June",24,13,0,1,1,0,0,"BB","PRT","Corporate","Direct",1,0,2,"A","A",1,"No Deposit","NULL","88",0,"Transient",75,0,0,"Check-Out","2017-06-14"
"18446","Resort Hotel",0,1,2016,"March",11,8,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"A","D",0,"No Deposit","NULL","NULL",0,"Transient",40,0,0,"Check-Out","2016-03-09"
"18451","Resort Hotel",0,0,2015,"November",48,25,0,1,2,0,0,"BB","PRT","Direct","Direct",1,0,1,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",38,0,0,"Check-Out","2015-11-26"
"18460","Resort Hotel",0,0,2015,"November",48,25,0,1,2,0,0,"BB","PRT","Direct","Direct",1,0,1,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",38,0,0,"Check-Out","2015-11-26"
"18472","Resort Hotel",0,0,2015,"November",48,23,1,0,1,0,0,"HB","PRT","Corporate","Corporate",1,0,1,"A","D",1,"No Deposit","NULL","20",0,"Transient-Party",42,0,0,"Check-Out","2015-11-24"
"18473","Resort Hotel",0,0,2016,"February",6,4,0,1,1,0,0,"HB","PRT","Corporate","Corporate",1,0,2,"A","A",0,"No Deposit","NULL","20",0,"Transient",46,0,0,"Check-Out","2016-02-05"
"18475","Resort Hotel",0,0,2015,"November",48,23,1,0,1,0,0,"HB","PRT","Corporate","Corporate",1,0,1,"A","D",1,"No Deposit","NULL","20",0,"Transient-Party",42,0,0,"Check-Out","2015-11-24"
"18483","Resort Hotel",0,0,2015,"November",48,23,1,0,1,0,0,"HB","PRT","Corporate","Corporate",1,0,1,"A","D",1,"No Deposit","NULL","20",0,"Transient-Party",42,0,0,"Check-Out","2015-11-24"
"18484","Resort Hotel",0,0,2016,"February",6,1,1,1,1,0,0,"HB","PRT","Corporate","Corporate",1,0,2,"A","A",0,"No Deposit","NULL","20",0,"Transient",46,0,0,"Check-Out","2016-02-03"
"18488","Resort Hotel",0,0,2015,"November",48,23,1,0,1,0,0,"HB","PRT","Corporate","Corporate",1,0,1,"A","A",1,"No Deposit","NULL","20",0,"Transient-Party",42,0,0,"Check-Out","2015-11-24"
"18506","Resort Hotel",0,2,2017,"April",16,22,0,1,2,0,0,"BB","PRT","Direct","Direct",1,0,1,"E","G",0,"No Deposit","NULL","NULL",0,"Transient",0,1,1,"Check-Out","2017-04-23"
"18523","Resort Hotel",0,4,2016,"February",9,26,0,1,2,0,0,"BB","PRT","Online TA","TA/TO",1,0,1,"A","A",0,"No Deposit","240","NULL",0,"Transient",54,1,1,"Check-Out","2016-02-27"
"18524","Resort Hotel",0,0,2016,"May",19,1,1,0,2,0,0,"BB","PRT","Direct","TA/TO",1,0,2,"F","F",0,"No Deposit","NULL","NULL",0,"Transient",115,1,1,"Check-Out","2016-05-02"
"18525","Resort Hotel",0,0,2017,"July",27,2,1,0,2,0,0,"BB","PRT","Direct","TA/TO",1,0,3,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",127,1,2,"Check-Out","2017-07-03"
"18536","Resort Hotel",0,7,2016,"March",10,1,0,2,1,0,0,"BB","PRT","Corporate","Corporate",1,1,0,"A","D",0,"No Deposit","NULL","NULL",0,"Transient",40,0,0,"Check-Out","2016-03-03"
"18537","Resort Hotel",0,5,2016,"May",19,3,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,1,1,"A","D",0,"No Deposit","NULL","403",0,"Transient",65,0,0,"Check-Out","2016-05-04"
"18538","Resort Hotel",0,13,2016,"November",47,15,0,2,1,0,0,"BB","PRT","Corporate","Corporate",1,1,2,"A","A",0,"No Deposit","NULL","403",0,"Transient",35,0,0,"Check-Out","2016-11-17"
"18558","Resort Hotel",0,1,2015,"November",48,24,0,0,2,0,0,"BB","PRT","Online TA","TA/TO",1,0,0,"D","D",0,"No Deposit","240","NULL",0,"Transient",0,0,1,"Check-Out","2015-11-24"
"18575","Resort Hotel",0,25,2016,"February",9,23,0,1,2,0,0,"HB","PRT","Direct","Direct",1,0,1,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",85,1,1,"Check-Out","2016-02-24"
"18576","Resort Hotel",0,0,2016,"February",9,25,0,3,2,0,0,"HB","PRT","Direct","Direct",1,0,2,"A","A",1,"No Deposit","NULL","NULL",0,"Transient",32,1,1,"Check-Out","2016-02-28"
"18577","Resort Hotel",0,1,2016,"December",51,17,0,1,2,0,0,"HB","PRT","Direct","Direct",1,0,3,"E","E",1,"No Deposit","250","NULL",0,"Transient",101,1,1,"Check-Out","2016-12-18"
"18598","Resort Hotel",1,216,2016,"June",27,27,3,6,1,0,0,"HB","PRT","Offline TA/TO","TA/TO",1,1,0,"A","A",0,"No Deposit","177","NULL",0,"Transient",67,0,1,"Canceled","2015-11-24"
"18599","Resort Hotel",1,216,2016,"June",27,27,3,6,1,0,0,"HB","PRT","Offline TA/TO","TA/TO",1,2,0,"A","A",0,"No Deposit","177","NULL",0,"Transient",67,0,1,"Canceled","2015-11-24"
"18600","Resort Hotel",1,216,2016,"June",27,27,3,6,1,0,0,"HB","PRT","Offline TA/TO","TA/TO",1,2,0,"A","A",0,"No Deposit","177","NULL",0,"Transient",67,0,1,"Canceled","2015-11-24"
"18606","Resort Hotel",0,0,2015,"November",48,24,0,1,1,0,0,"BB","PRT","Online TA","TA/TO",1,0,0,"A","A",0,"No Deposit","241","NULL",0,"Transient",36.96,0,0,"Check-Out","2015-11-25"
"18614","Resort Hotel",0,0,2015,"December",51,16,0,1,1,0,0,"BB","PRT","Online TA","TA/TO",1,0,1,"D","D",0,"No Deposit","240","NULL",0,"Transient",40,0,0,"Check-Out","2015-12-17"
"18615","Resort Hotel",0,0,2016,"February",6,3,0,1,1,0,0,"BB","PRT","Online TA","TA/TO",1,0,2,"A","D",0,"No Deposit","240","NULL",0,"Transient",39,0,1,"Check-Out","2016-02-04"
"18616","Resort Hotel",0,0,2016,"December",51,14,0,1,1,0,0,"BB","PRT","Online TA","TA/TO",1,0,3,"A","A",0,"No Deposit","240","NULL",0,"Transient",43,0,1,"Check-Out","2016-12-15"
"18617","Resort Hotel",0,1,2017,"February",6,8,0,1,1,0,0,"BB","PRT","Online TA","TA/TO",1,0,4,"A","D",0,"No Deposit","240","NULL",0,"Transient",43,0,1,"Check-Out","2017-02-09"
"18622","Resort Hotel",0,0,2016,"February",9,25,0,0,2,0,0,"BB","PRT","Direct","Direct",1,0,1,"A","D",0,"No Deposit","NULL","NULL",0,"Transient",0,0,0,"Check-Out","2016-02-25"
"18625","Resort Hotel",0,1,2016,"February",6,3,0,1,1,0,0,"BB","PRT","Direct","Direct",1,0,1,"A","D",0,"No Deposit","NULL","NULL",0,"Transient",39,0,1,"Check-Out","2016-02-04"
"18626","Resort Hotel",0,1,2016,"March",13,22,0,1,1,0,0,"BB","PRT","Direct","Direct",1,0,2,"A","D",0,"No Deposit","NULL","NULL",0,"Transient",45,0,1,"Check-Out","2016-03-23"
"18627","Resort Hotel",0,2,2016,"May",20,11,0,1,1,0,0,"BB","PRT","Direct","Direct",1,0,3,"A","A",3,"No Deposit","NULL","NULL",0,"Transient",63,0,1,"Check-Out","2016-05-12"
"18628","Resort Hotel",0,6,2016,"May",22,23,1,0,1,0,0,"BB","PRT","Corporate","Direct",1,0,4,"A","H",0,"No Deposit","NULL","399",0,"Transient",63,0,1,"Check-Out","2016-05-24"
"18629","Resort Hotel",0,1,2017,"March",9,1,0,1,1,0,0,"BB","PRT","Direct","Direct",1,0,5,"A","A",0,"No Deposit","250","399",0,"Transient",34.2,0,1,"Check-Out","2017-03-02"
"18630","Resort Hotel",0,1,2017,"March",11,15,0,1,1,0,0,"BB","PRT","Corporate","Direct",1,0,6,"A","D",0,"No Deposit","NULL","399",0,"Transient",60,0,1,"Check-Out","2017-03-16"
"18631","Resort Hotel",0,2,2017,"May",21,24,0,1,1,0,0,"BB","PRT","Corporate","Direct",1,0,7,"A","A",0,"No Deposit","NULL","399",0,"Transient",45,0,1,"Check-Out","2017-05-25"
"18639","Resort Hotel",0,0,2016,"January",3,11,1,1,1,0,0,"BB","PRT","Direct","Direct",1,0,1,"A","D",1,"No Deposit","NULL","NULL",0,"Transient",38,0,0,"Check-Out","2016-01-13"
"18640","Resort Hotel",0,0,2016,"November",48,21,1,1,1,0,0,"BB","PRT","Online TA","Direct",1,0,2,"A","I",2,"No Deposit","240","NULL",0,"Transient",55,0,0,"Check-Out","2016-11-23"
"18643","Resort Hotel",0,1,2016,"February",8,16,0,0,2,0,0,"BB","PRT","Direct","Direct",1,0,0,"A","D",0,"No Deposit","NULL","NULL",0,"Transient",0,1,0,"Check-Out","2016-02-16"
"18650","Resort Hotel",0,2,2016,"March",14,30,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"A","D",0,"No Deposit","NULL","14",0,"Transient",42,0,0,"Check-Out","2016-03-31"
"18651","Resort Hotel",0,1,2017,"January",2,11,0,1,1,0,0,"BB","PRT","Offline TA/TO","Corporate",1,0,2,"A","D",0,"No Deposit","6","NULL",0,"Transient",30,0,0,"Check-Out","2017-01-12"
"18656","Resort Hotel",0,5,2016,"April",18,26,0,2,1,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"A","D",0,"No Deposit","NULL","94",0,"Transient",39,0,0,"Check-Out","2016-04-28"
"18657","Resort Hotel",0,6,2016,"December",53,27,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,2,"A","A",2,"No Deposit","94","NULL",0,"Transient",27,1,0,"Check-Out","2016-12-28"
"18658","Resort Hotel",0,4,2017,"August",31,1,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,3,"A","A",0,"No Deposit","NULL","94",0,"Transient",142,1,0,"Check-Out","2017-08-02"
"18661","Resort Hotel",0,5,2016,"April",15,5,0,2,1,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"A","D",0,"No Deposit","NULL","94",0,"Transient",39,0,0,"Check-Out","2016-04-07"
"18662","Resort Hotel",0,0,2016,"April",15,7,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"A","A",0,"No Deposit","NULL","94",0,"Transient",39,0,0,"Check-Out","2016-04-08"
"18663","Resort Hotel",0,1,2016,"September",38,16,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,3,"A","F",0,"No Deposit","NULL","94",0,"Transient",58,0,0,"Check-Out","2016-09-17"
"18664","Resort Hotel",0,6,2017,"January",3,17,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,4,"A","A",0,"No Deposit","NULL","94",0,"Transient",35,0,0,"Check-Out","2017-01-18"
"18665","Resort Hotel",0,2,2017,"January",4,25,0,2,1,0,0,"BB","PRT","Corporate","Corporate",1,0,5,"A","D",0,"No Deposit","NULL","94",0,"Transient-Party",35,0,0,"Check-Out","2017-01-27"
"18666","Resort Hotel",0,4,2017,"August",31,1,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,6,"A","D",0,"No Deposit","NULL","94",0,"Transient",135,0,0,"Check-Out","2017-08-02"
"18672","Resort Hotel",0,0,2016,"May",19,3,0,1,1,0,0,"BB","PRT","Direct","TA/TO",1,0,1,"A","E",0,"No Deposit","NULL","NULL",0,"Transient",70,0,0,"Check-Out","2016-05-04"
"18678","Resort Hotel",0,14,2017,"May",22,28,2,5,2,0,0,"BB","GBR","Direct","TA/TO",1,0,0,"F","F",0,"No Deposit","250","NULL",0,"Transient",163.43,1,1,"Check-Out","2017-06-04"
"18689","Resort Hotel",0,0,2015,"November",48,26,0,0,2,0,0,"BB","PRT","Online TA","TA/TO",1,0,0,"A","D",0,"No Deposit","240","NULL",0,"Transient",0,0,1,"Check-Out","2015-11-26"
"18691","Resort Hotel",0,1,2015,"November",48,27,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,0,"A","D",1,"No Deposit","NULL","NULL",0,"Transient",38,0,1,"Check-Out","2015-11-28"
"18699","Resort Hotel",0,7,2017,"March",11,16,0,1,1,0,0,"BB","PRT","Offline TA/TO","TA/TO",1,0,1,"A","A",0,"No Deposit","126","NULL",0,"Transient",48,0,0,"Check-Out","2017-03-17"
"18703","Resort Hotel",0,11,2016,"January",2,7,0,1,2,0,0,"BB","PRT","Online TA","TA/TO",1,0,1,"A","D",0,"No Deposit","240","NULL",0,"Transient",48,0,2,"Check-Out","2016-01-08"
"18704","Resort Hotel",0,15,2016,"February",7,11,0,1,1,0,0,"BB","PRT","Online TA","TA/TO",1,0,2,"A","D",0,"No Deposit","240","NULL",0,"Transient",49,0,2,"Check-Out","2016-02-12"
"18705","Resort Hotel",0,27,2016,"March",11,10,0,1,2,0,0,"BB","PRT","Online TA","TA/TO",1,0,3,"A","A",0,"No Deposit","240","NULL",0,"Transient",48,0,2,"Check-Out","2016-03-11"
"18711","Resort Hotel",0,0,2016,"April",17,19,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"A","H",0,"No Deposit","NULL","137",0,"Transient",74,0,0,"Check-Out","2016-04-20"
"18720","Resort Hotel",0,0,2016,"April",16,16,1,1,2,0,0,"BB","PRT","Direct","Direct",1,0,1,"A","E",0,"No Deposit","NULL","NULL",0,"Transient",61,0,0,"Check-Out","2016-04-18"
"18743","Resort Hotel",0,1,2017,"February",5,3,0,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",1,0,1,"A","A",0,"No Deposit","330","NULL",0,"Group",34,0,1,"Check-Out","2017-02-04"
"18747","Resort Hotel",0,8,2016,"November",48,25,0,2,2,3,0,"BB","PRT","Direct","Direct",1,0,1,"H","H",0,"No Deposit","250","NULL",0,"Transient",88,0,0,"Check-Out","2016-11-27"
"18748","Resort Hotel",0,0,2016,"December",50,10,0,1,2,2,0,"BB","PRT","Direct","Direct",1,0,2,"C","C",0,"No Deposit","250","NULL",0,"Transient",76,0,1,"Check-Out","2016-12-11"
"18749","Resort Hotel",0,6,2017,"February",7,18,0,1,2,2,0,"BB","PRT","Direct","Direct",1,0,3,"C","C",0,"No Deposit","250","NULL",0,"Group",67.5,0,1,"Check-Out","2017-02-19"
"18758","Resort Hotel",0,2,2017,"February",7,18,1,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",1,0,1,"D","D",0,"No Deposit","8","NULL",0,"Transient",49,1,1,"Check-Out","2017-02-20"
"18760","Resort Hotel",0,17,2016,"October",45,30,1,0,2,0,0,"BB","PRT","Groups","Direct",1,0,1,"A","A",0,"No Deposit","NULL","346",0,"Transient",66,1,0,"Check-Out","2016-10-31"
"18763","Resort Hotel",0,17,2016,"October",45,30,1,0,2,0,0,"BB","PRT","Groups","Direct",1,0,1,"A","A",0,"No Deposit","NULL","NULL",0,"Transient-Party",66,1,0,"Check-Out","2016-10-31"
"18772","Resort Hotel",0,4,2017,"January",3,21,0,1,2,0,0,"BB","ESP","Offline TA/TO","TA/TO",1,0,1,"A","A",0,"No Deposit","6","NULL",0,"Transient",34,0,0,"Check-Out","2017-01-22"
"18775","Resort Hotel",0,1,2017,"March",9,3,0,1,2,0,0,"BB","PRT","Online TA","TA/TO",1,0,1,"A","D",0,"No Deposit","240","NULL",0,"Transient",65,0,2,"Check-Out","2017-03-04"
"18781","Resort Hotel",0,10,2016,"March",12,19,1,1,2,0,0,"BB","PRT","Direct","Direct",1,0,0,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",31.5,0,0,"Check-Out","2016-03-21"
"18791","Resort Hotel",0,1,2015,"December",51,18,0,1,2,0,0,"BB","PRT","Direct","Direct",1,0,1,"D","D",0,"No Deposit","NULL","NULL",0,"Transient",43,0,0,"Check-Out","2015-12-19"
"18792","Resort Hotel",1,1,2016,"January",5,30,0,1,2,0,0,"BB","PRT","Direct","Direct",1,0,2,"D","D",0,"No Deposit","NULL","NULL",0,"Transient",53,0,0,"Canceled","2016-01-30"
"18793","Resort Hotel",0,0,2016,"November",46,12,0,1,2,0,0,"BB","PRT","Direct","Direct",1,1,2,"A","D",0,"No Deposit","NULL","NULL",0,"Transient",70,0,0,"Check-Out","2016-11-13"
"18794","Resort Hotel",0,2,2017,"March",11,18,0,1,3,0,0,"BB","PRT","Direct","Direct",1,1,3,"D","D",0,"No Deposit","NULL","NULL",0,"Transient",115,0,1,"Check-Out","2017-03-19"
"18797","Resort Hotel",0,0,2015,"December",52,22,0,1,2,0,0,"BB","PRT","Direct","Direct",1,0,1,"D","D",1,"No Deposit","NULL","NULL",0,"Transient",43,0,0,"Check-Out","2015-12-23"
"18798","Resort Hotel",0,0,2016,"March",10,4,0,1,2,0,0,"BB","PRT","Direct","Direct",1,0,2,"D","D",0,"No Deposit","NULL","NULL",0,"Transient",55,0,0,"Check-Out","2016-03-05"
"18799","Resort Hotel",0,0,2017,"February",5,3,0,2,2,0,0,"BB","PRT","Direct","Direct",1,0,3,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",48,0,0,"Check-Out","2017-02-05"
"18800","Resort Hotel",0,0,2017,"February",6,10,0,2,2,0,0,"BB","PRT","Direct","Direct",1,0,4,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",48,0,0,"Check-Out","2017-02-12"
"18837","Resort Hotel",0,0,2015,"November",49,30,0,0,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",1,0,0,"A","D",0,"No Deposit","6","NULL",0,"Transient",0,0,0,"Check-Out","2015-11-30"
